,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
39,0.0001,512.0,2.0,0.0,0.5948552489280701,1.0007352828979492,0.8026388883590698,0.6633333563804626
40,0.0001,512.0,2.0,1e-05,0.6004449129104614,1.0081987380981445,0.7993518710136414,0.6625925898551941
41,0.0001,512.0,2.0,0.0001,0.6721903085708618,1.0370962619781494,0.7924073934555054,0.6622222065925598
42,0.0001,512.0,3.0,0.0,0.375107079744339,1.041891098022461,0.8830092549324036,0.6870370507240295
43,0.0001,512.0,3.0,1e-05,0.42276543378829956,0.9984186291694641,0.865231454372406,0.6907407641410828
44,0.0001,512.0,3.0,0.0001,0.5050643086433411,1.052720069885254,0.8635647892951965,0.6922222375869751
45,0.0001,1024.0,1.0,0.0,0.8532660603523254,1.1163989305496216,0.7117592692375183,0.6125925779342651
46,0.0001,1024.0,1.0,1e-05,0.8538933396339417,1.1258093118667603,0.7151389122009277,0.605555534362793
47,0.0001,1024.0,1.0,0.0001,0.8964919447898865,1.1500296592712402,0.712592601776123,0.6144444346427917
48,0.0001,1024.0,2.0,0.0,0.4879877269268036,1.0268335342407227,0.8418518304824829,0.6700000166893005
49,0.0001,1024.0,2.0,1e-05,0.49981173872947693,1.0151176452636719,0.8422222137451172,0.6707407236099243
50,0.0001,1024.0,2.0,0.0001,0.5824446678161621,1.048276424407959,0.824999988079071,0.6751852035522461
51,0.0001,1024.0,3.0,0.0,0.26292338967323303,1.133339524269104,0.9213426113128662,0.6899999976158142
52,0.0001,1024.0,3.0,1e-05,0.29546478390693665,1.1678515672683716,0.9174537062644958,0.6896296143531799
53,0.0001,1024.0,3.0,0.0001,0.4205178916454315,1.1174137592315674,0.9002777934074402,0.6959259510040283
54,0.001,256.0,1.0,0.0,0.9959865212440491,1.2605170011520386,0.6494444608688354,0.5703703761100769
55,0.001,256.0,1.0,1e-05,1.0754497051239014,1.303710699081421,0.6185648441314697,0.5555555820465088
56,0.001,256.0,1.0,0.0001,1.1323906183242798,1.3015012741088867,0.6142129898071289,0.5585185289382935
